   Tcen(MeV)       Tup(MeV)        Tdown(MeV)      chi2           chi4             chi6           chi8             chi10
   8.0192462e-01   8.0971660e-01   7.9428118e-01   1.1805053e-09  -1.7154238e-12   2.4102032e-15  -2.6759506e-18   1.6829729e-21
   1.6038492e+00   1.6194332e+00   1.5885624e+00   2.4445002e-10  -1.5580153e-12   9.1236594e-15  -4.1154171e-17   1.0418272e-19
   2.4057739e+00   2.4291498e+00   2.3828435e+00   1.0786728e-10  -1.8158941e-12   2.4574687e-14  -2.4795019e-16   1.3920937e-18
   3.2076985e+00   3.2388664e+00   3.1771247e+00   4.6844553e-11  -1.3375739e-12   3.2944833e-14  -6.1419302e-16   6.3633136e-18
   4.0096231e+00   4.0485830e+00   3.9714059e+00   1.5382805e-11  -8.8684859e-13   3.9486863e-14  -1.2502707e-15   2.1178019e-17
   4.8115477e+00   4.8582996e+00   4.7656871e+00   1.1060850e-11  -1.1841911e-12   7.5147399e-14  -3.2905647e-15   7.7323556e-17
   5.6134723e+00   5.6680162e+00   5.5599682e+00   1.5838020e-11  -1.4660779e-12   1.1305865e-13  -6.5332897e-15   2.0767670e-16
   6.4153970e+00   6.4777328e+00   6.3542494e+00   1.7031777e-11  -1.4994113e-12   1.3884231e-13  -1.0070393e-14   4.1064921e-16
   7.2173216e+00   7.2874494e+00   7.1485306e+00   1.1338634e-11  -1.3457903e-12   1.5755153e-13  -1.4472173e-14   7.5170341e-16
   8.0192462e+00   8.0971660e+00   7.9428118e+00   6.3364772e-12  -1.2943265e-12   2.0553996e-13  -2.3744206e-14   1.5143231e-15
   8.8211708e+00   8.9068826e+00   8.7370929e+00   3.8579319e-12  -1.0876193e-12   2.1775491e-13  -3.1247540e-14   2.4512693e-15
   9.6230954e+00   9.7165992e+00   9.5313741e+00   3.8005607e-12  -9.1289993e-13   2.1271563e-13  -3.7691415e-14   3.6768194e-15
   1.0425020e+01   1.0526316e+01   1.0325655e+01   5.0216839e-12  -1.8225091e-12   4.9374085e-13  -9.6096784e-14   1.0232937e-14
   1.1226945e+01   1.1336032e+01   1.1119936e+01   5.7874411e-12  -1.7149322e-12   4.7829482e-13  -1.0370093e-13   1.2706741e-14
   1.2028869e+01   1.2145749e+01   1.1914218e+01   1.7488128e-12  -9.3763225e-13   3.6787985e-13  -1.0133258e-13   1.5172804e-14
   1.2830794e+01   1.2955466e+01   1.2708499e+01   3.0015829e-12  -1.3754468e-12   5.4205193e-13  -1.5924424e-13   2.5838163e-14
   1.3632719e+01   1.3765182e+01   1.3502780e+01   3.0246274e-12  -1.4424117e-12   5.5731504e-13  -1.7250085e-13   3.1152162e-14
   1.4434643e+01   1.4574899e+01   1.4297061e+01   2.8409905e-12  -1.2140893e-12   5.5137619e-13  -1.9985308e-13   4.1112131e-14
   1.5236568e+01   1.5384615e+01   1.5091342e+01   1.5483440e-12  -1.2366610e-12   7.3007691e-13  -3.1040998e-13   7.2402480e-14
   1.6038492e+01   1.6194332e+01   1.5885624e+01   9.6142328e-13  -1.0475958e-12   7.1243727e-13  -3.3977431e-13   8.8815326e-14
   1.6840417e+01   1.7004049e+01   1.6679905e+01   3.0469837e-12  -1.8002675e-12   1.1194628e-12  -5.5275809e-13   1.5428999e-13
   1.7642342e+01   1.7813765e+01   1.7474186e+01   2.6701458e-12  -1.9415423e-12   1.3275966e-12  -7.0586642e-13   2.1261676e-13
   1.8444266e+01   1.8623482e+01   1.8268467e+01   1.9138070e-12  -1.8244698e-12   1.4330051e-12  -8.4361441e-13   2.7774756e-13
   1.9246191e+01   1.9433198e+01   1.9062748e+01   1.2422631e-12  -1.2563173e-12   1.2377619e-12  -8.8809052e-13   3.4416940e-13
   2.0048115e+01   2.0242915e+01   1.9857029e+01   1.3976979e-12  -1.3363492e-12   1.2117736e-12  -8.5602668e-13   3.4663113e-13
   2.0850040e+01   2.1052632e+01   2.0651311e+01   8.2702808e-13  -9.6160516e-13   1.0866888e-12  -8.9286719e-13   4.1578967e-13
   2.1651965e+01   2.1862348e+01   2.1445592e+01   8.7858039e-13  -1.2032838e-12   1.4947954e-12  -1.2885823e-12   6.5998211e-13
   2.2453889e+01   2.2672065e+01   2.2239873e+01   5.9769769e-13  -7.8682297e-13   1.2014099e-12  -1.1298759e-12   7.5069936e-13
   2.3255814e+01   2.3481781e+01   2.3034154e+01   7.9562598e-13  -1.3740064e-12   2.3775641e-12  -2.2524481e-12   1.6738193e-12
   2.4057739e+01   2.4291498e+01   2.3828435e+01   9.3848798e-13  -9.7760313e-13   2.8477420e-12  -2.6989188e-12   2.8166776e-12
   2.4859663e+01   2.5101215e+01   2.4622716e+01   3.0390319e-12  -1.8060375e-12   5.4375330e-12  -4.5126267e-12   5.7629608e-12
   2.5661588e+01   2.5910931e+01   2.5416998e+01   4.1251673e-12  -7.5289214e-13   8.9621721e-12  -6.7779238e-12   1.1705161e-11
   2.6463512e+01   2.6720648e+01   2.6211279e+01   8.3483012e-12   1.1159096e-12   1.5914920e-11  -9.7703420e-12   2.3238386e-11
   2.7265437e+01   2.7530364e+01   2.7005560e+01   1.6293044e-11   5.9193074e-12   2.9580963e-11  -1.4621923e-11   4.6491097e-11
   2.8067362e+01   2.8340081e+01   2.7799841e+01   3.2469236e-11   1.7798663e-11   5.2875871e-11  -1.8183761e-11   8.8836543e-11
   2.8869286e+01   2.9149798e+01   2.8594122e+01   6.3244854e-11   4.1414554e-11   9.7009390e-11  -2.2623873e-11   1.6878179e-10
   2.9671211e+01   2.9959514e+01   2.9388403e+01   1.1936070e-10   8.9652921e-11   1.7163177e-10  -1.8196428e-11   3.0750888e-10
   3.0473136e+01   3.0769231e+01   3.0182685e+01   2.2134724e-10   1.7804000e-10   3.0246879e-10  -1.1643455e-12   5.4918190e-10
   3.1275060e+01   3.1578947e+01   3.0976966e+01   3.9788289e-10   3.3778640e-10   5.2067093e-10   4.9575195e-11   9.5168980e-10
   3.2076985e+01   3.2388664e+01   3.1771247e+01   6.9660727e-10   6.1544915e-10   8.7807420e-10   1.6272718e-10   1.6085978e-09
   3.2878909e+01   3.3198381e+01   3.2565528e+01   1.1901291e-09   1.0816447e-09   1.4516718e-09   3.8948666e-10   2.6519755e-09
