#T [GeV]	Xi2	p/T^4	err	I/T^4	err	e/T^4	err	nB/T^3	s/T^3	err	p/T^4	err	I/T^4	err	e/T^4	err	nB/T^3	s/T^3	err	p/T^4	err	I/T^4	err	e/T^4	err	nB/T^3	s/T^3	err	p/T^4	err	I/T^4	err	e/T^4	err	nB/T^3	s/T^3	err	p/T^4	err	I/T^4	err	e/T^4	err	nB/T^3	s/T^3	err
#		muB=0									muB=0.1GeV									muB=0.2GeV									muB=0.3GeV									muB=0.4GeV								
0.125	0.019603656	0.34	0.06	0.8	0.2	1.82	0.38	0	2.16	0.44	0.35	0.06	0.8	0.2	1.85	0.38	0.015682925	2.18745366	0.44	0.37	0.06	1	0.2	2.11	0.38	0.03136585	2.47372683	0.44	0.4	0.06	1.3	0.2	2.5	0.38	0.047048775	2.885885367	0.44	0.44	0.06	1.7	0.3	3.02	0.48	0.0627317	3.43490732	0.54
0.13	0.027729679	0.38	0.06	1	0.2	2.14	0.38	0	2.52	0.44	0.39	0.06	1	0.2	2.17	0.38	0.021330522	2.543591906	0.44	0.41	0.06	1.3	0.2	2.53	0.38	0.042661045	2.931467791	0.44	0.45	0.06	1.6	0.2	2.95	0.38	0.063991567	3.38080253	0.44	0.51	0.06	2.1	0.3	3.63	0.48	0.08532209	4.105871164	0.54
0.135	0.038224078	0.42	0.06	1.2	0.2	2.46	0.38	0	2.88	0.44	0.43	0.06	1.3	0.2	2.59	0.38	0.028314132	2.999026569	0.44	0.46	0.06	1.6	0.2	2.98	0.38	0.056628263	3.428674347	0.44	0.52	0.06	2	0.2	3.56	0.38	0.084942395	4.054517281	0.44	0.59	0.06	2.6	0.3	4.37	0.48	0.113256527	4.914697389	0.54
0.14	0.051270149	0.47	0.06	1.5	0.2	2.91	0.38	0	3.38	0.44	0.48	0.06	1.6	0.2	3.04	0.38	0.036621535	3.493841761	0.44	0.52	0.06	1.9	0.2	3.46	0.38	0.07324307	3.965351386	0.44	0.59	0.06	2.5	0.2	4.27	0.38	0.109864605	4.827040618	0.44	0.68	0.07	3.2	0.3	5.24	0.51	0.14648614	5.861405544	0.58
0.145	0.066813226	0.52	0.07	1.8	0.2	3.36	0.41	0	3.88	0.48	0.54	0.07	2	0.2	3.62	0.41	0.046078087	4.128222009	0.48	0.59	0.07	2.3	0.2	4.07	0.41	0.092156174	4.641568765	0.48	0.67	0.07	2.9	0.2	4.91	0.41	0.138234261	5.538529722	0.48	0.78	0.08	3.7	0.3	6.04	0.54	0.184312348	6.746275061	0.62
0.15	0.084496093	0.6	0.07	2.3	0.2	4.1	0.41	0	4.7	0.48	0.62	0.07	2.4	0.2	4.26	0.41	0.056330729	4.842446181	0.48	0.67	0.07	2.8	0.2	4.81	0.41	0.112661457	5.457467709	0.48	0.77	0.07	3.4	0.2	5.71	0.41	0.168992186	6.429302344	0.48	0.9	0.08	4.3	0.2	7	0.44	0.225322914	7.809870834	0.52
0.155	0.103665977	0.68	0.07	2.7	0.2	4.74	0.41	0	5.42	0.48	0.7	0.07	2.9	0.2	5	0.41	0.066881276	5.65685079	0.48	0.77	0.07	3.3	0.2	5.61	0.41	0.133762552	6.35324749	0.48	0.88	0.07	3.9	0.2	6.54	0.41	0.200643827	7.359806852	0.48	1.03	0.08	4.8	0.2	7.89	0.44	0.267525103	8.812989959	0.52
0.16	0.123470506	0.77	0.07	3.1	0.2	5.41	0.41	0	6.18	0.48	0.79	0.07	3.2	0.2	5.57	0.41	0.077169067	6.311769333	0.48	0.86	0.07	3.6	0.2	6.18	0.41	0.154338133	7.009132373	0.48	0.99	0.07	4.2	0.2	7.17	0.41	0.2315072	8.09054784	0.48	1.16	0.08	5.1	0.2	8.58	0.44	0.308676266	9.616529494	0.52
0.165	0.143016481	0.87	0.07	3.4	0.2	6.01	0.41	0	6.88	0.48	0.9	0.07	3.5	0.2	6.2	0.41	0.086676655	7.047468694	0.48	0.97	0.07	3.8	0.2	6.71	0.41	0.17335331	7.645329338	0.48	1.11	0.07	4.4	0.2	7.73	0.41	0.260029965	8.761991011	0.48	1.29	0.07	5.2	0.2	9.07	0.41	0.346706619	10.22131735	0.48
0.17	0.161531549	0.97	0.07	3.6	0.2	6.51	0.41	0	7.48	0.48	1	0.07	3.7	0.2	6.7	0.41	0.095018558	7.64410673	0.48	1.09	0.07	4	0.2	7.27	0.41	0.190037117	8.321992577	0.48	1.23	0.07	4.5	0.2	8.19	0.41	0.285055675	9.334483298	0.48	1.42	0.07	5.2	0.2	9.46	0.41	0.380074233	10.72797031	0.48
