#N_mub=6
#N_T=20
#     muB[GeV]      T[GeV]      massgluon[GeV]
      0.000000      0.158000      0.819177
      0.000000      0.173800      0.772989
      0.000000      0.189600      0.737344
      0.000000      0.205400      0.712438
      0.000000      0.221200      0.696936
      0.000000      0.237000      0.689146
      0.000000      0.252800      0.687440
      0.000000      0.268600      0.690421
      0.000000      0.284400      0.696955
      0.000000      0.300200      0.706158
      0.000000      0.316000      0.717351
      0.000000      0.331800      0.730022
      0.000000      0.347600      0.743783
      0.000000      0.363400      0.758348
      0.000000      0.379200      0.773497
      0.000000      0.395000      0.789066
      0.000000      0.410800      0.804933
      0.000000      0.426600      0.821002
      0.000000      0.442400      0.837201
      0.000000      0.458200      0.853475
      0.100000      0.158000      0.811593
      0.100000      0.173800      0.766191
      0.100000      0.189600      0.731447
      0.100000      0.205400      0.707380
      0.100000      0.221200      0.692602
      0.100000      0.237000      0.685408
      0.100000      0.252800      0.684182
      0.100000      0.268600      0.687540
      0.100000      0.284400      0.694369
      0.100000      0.300200      0.703798
      0.100000      0.316000      0.715165
      0.100000      0.331800      0.727967
      0.100000      0.347600      0.741829
      0.100000      0.363400      0.756468
      0.100000      0.379200      0.771671
      0.100000      0.395000      0.787280
      0.100000      0.410800      0.803173
      0.100000      0.426600      0.819258
      0.100000      0.442400      0.835465
      0.100000      0.458200      0.851742
      0.200000      0.158000      0.788899
      0.200000      0.173800      0.746004
      0.200000      0.189600      0.713999
      0.200000      0.205400      0.692443
      0.200000      0.221200      0.679807
      0.200000      0.237000      0.674370
      0.200000      0.252800      0.674547
      0.200000      0.268600      0.679006
      0.200000      0.284400      0.686688
      0.200000      0.300200      0.696773
      0.200000      0.316000      0.708640
      0.200000      0.331800      0.721822
      0.200000      0.347600      0.735968
      0.200000      0.363400      0.750816
      0.200000      0.379200      0.766172
      0.200000      0.395000      0.781889
      0.200000      0.410800      0.797854
      0.200000      0.426600      0.813983
      0.200000      0.442400      0.830213
      0.200000      0.458200      0.846492
      0.300000      0.158000      0.751454
      0.300000      0.173800      0.713136
      0.300000      0.189600      0.685773
      0.300000      0.205400      0.668349
      0.300000      0.221200      0.659180
      0.300000      0.237000      0.656547
      0.300000      0.252800      0.658940
      0.300000      0.268600      0.665123
      0.300000      0.284400      0.674130
      0.300000      0.300200      0.685227
      0.300000      0.316000      0.697859
      0.300000      0.331800      0.711615
      0.300000      0.347600      0.726187
      0.300000      0.363400      0.741348
      0.300000      0.379200      0.756926
      0.300000      0.395000      0.772793
      0.300000      0.410800      0.788854
      0.300000      0.426600      0.805037
      0.300000      0.442400      0.821283
      0.300000      0.458200      0.837551
      0.400000      0.158000      0.700367
      0.400000      0.173800      0.669005
      0.400000      0.189600      0.648167
      0.400000      0.205400      0.636342
      0.400000      0.221200      0.631755
      0.400000      0.237000      0.632761
      0.400000      0.252800      0.637984
      0.400000      0.268600      0.646339
      0.400000      0.284400      0.656997
      0.400000      0.300200      0.669337
      0.400000      0.316000      0.682898
      0.400000      0.331800      0.697339
      0.400000      0.347600      0.712410
      0.400000      0.363400      0.727925
      0.400000      0.379200      0.743744
      0.400000      0.395000      0.759767
      0.400000      0.410800      0.775912
      0.400000      0.426600      0.792122
      0.400000      0.442400      0.808354
      0.400000      0.458200      0.824571
      0.500000      0.158000      0.638041
      0.500000      0.173800      0.615991
      0.500000      0.189600      0.603295
      0.500000      0.205400      0.598176
      0.500000      0.221200      0.598912
      0.500000      0.237000      0.604041
      0.500000      0.252800      0.612408
      0.500000      0.268600      0.623130
      0.500000      0.284400      0.635554
      0.500000      0.300200      0.649197
      0.500000      0.316000      0.663710
      0.500000      0.331800      0.678833
      0.500000      0.347600      0.694381
      0.500000      0.363400      0.710213
      0.500000      0.379200      0.726227
      0.500000      0.395000      0.742345
      0.500000      0.410800      0.758512
      0.500000      0.426600      0.774683
      0.500000      0.442400      0.790825
      0.500000      0.458200      0.806913
