#N_mub=6
#N_T=20
#     muB[GeV]      T[GeV]      masslightquark[GeV]
      0.000000      0.158000      0.546118
      0.000000      0.173800      0.515326
      0.000000      0.189600      0.491563
      0.000000      0.205400      0.474958
      0.000000      0.221200      0.464624
      0.000000      0.237000      0.459430
      0.000000      0.252800      0.458293
      0.000000      0.268600      0.460280
      0.000000      0.284400      0.464637
      0.000000      0.300200      0.470772
      0.000000      0.316000      0.478234
      0.000000      0.331800      0.486681
      0.000000      0.347600      0.495856
      0.000000      0.363400      0.505565
      0.000000      0.379200      0.515665
      0.000000      0.395000      0.526044
      0.000000      0.410800      0.536622
      0.000000      0.426600      0.547335
      0.000000      0.442400      0.558134
      0.000000      0.458200      0.568983
      0.100000      0.158000      0.541062
      0.100000      0.173800      0.510794
      0.100000      0.189600      0.487631
      0.100000      0.205400      0.471586
      0.100000      0.221200      0.461735
      0.100000      0.237000      0.456939
      0.100000      0.252800      0.456121
      0.100000      0.268600      0.458360
      0.100000      0.284400      0.462912
      0.100000      0.300200      0.469199
      0.100000      0.316000      0.476777
      0.100000      0.331800      0.485312
      0.100000      0.347600      0.494553
      0.100000      0.363400      0.504312
      0.100000      0.379200      0.514447
      0.100000      0.395000      0.524853
      0.100000      0.410800      0.535448
      0.100000      0.426600      0.546172
      0.100000      0.442400      0.556977
      0.100000      0.458200      0.567828
      0.200000      0.158000      0.525933
      0.200000      0.173800      0.497336
      0.200000      0.189600      0.476000
      0.200000      0.205400      0.461628
      0.200000      0.221200      0.453205
      0.200000      0.237000      0.449580
      0.200000      0.252800      0.449698
      0.200000      0.268600      0.452671
      0.200000      0.284400      0.457792
      0.200000      0.300200      0.464516
      0.200000      0.316000      0.472427
      0.200000      0.331800      0.481215
      0.200000      0.347600      0.490645
      0.200000      0.363400      0.500544
      0.200000      0.379200      0.510782
      0.200000      0.395000      0.521259
      0.200000      0.410800      0.531903
      0.200000      0.426600      0.542655
      0.200000      0.442400      0.553475
      0.200000      0.458200      0.564328
      0.300000      0.158000      0.500969
      0.300000      0.173800      0.475424
      0.300000      0.189600      0.457182
      0.300000      0.205400      0.445566
      0.300000      0.221200      0.439453
      0.300000      0.237000      0.437698
      0.300000      0.252800      0.439293
      0.300000      0.268600      0.443415
      0.300000      0.284400      0.449420
      0.300000      0.300200      0.456818
      0.300000      0.316000      0.465239
      0.300000      0.331800      0.474410
      0.300000      0.347600      0.484125
      0.300000      0.363400      0.494232
      0.300000      0.379200      0.504617
      0.300000      0.395000      0.515195
      0.300000      0.410800      0.525903
      0.300000      0.426600      0.536691
      0.300000      0.442400      0.547522
      0.300000      0.458200      0.558368
      0.400000      0.158000      0.466911
      0.400000      0.173800      0.446003
      0.400000      0.189600      0.432111
      0.400000      0.205400      0.424228
      0.400000      0.221200      0.421170
      0.400000      0.237000      0.421841
      0.400000      0.252800      0.425323
      0.400000      0.268600      0.430893
      0.400000      0.284400      0.437998
      0.400000      0.300200      0.446225
      0.400000      0.316000      0.455265
      0.400000      0.331800      0.464893
      0.400000      0.347600      0.474940
      0.400000      0.363400      0.485283
      0.400000      0.379200      0.495830
      0.400000      0.395000      0.506511
      0.400000      0.410800      0.517275
      0.400000      0.426600      0.528081
      0.400000      0.442400      0.538903
      0.400000      0.458200      0.549714
      0.500000      0.158000      0.425361
      0.500000      0.173800      0.410661
      0.500000      0.189600      0.402197
      0.500000      0.205400      0.398784
      0.500000      0.221200      0.399274
      0.500000      0.237000      0.402694
      0.500000      0.252800      0.408272
      0.500000      0.268600      0.415420
      0.500000      0.284400      0.423702
      0.500000      0.300200      0.432798
      0.500000      0.316000      0.442473
      0.500000      0.331800      0.452556
      0.500000      0.347600      0.462920
      0.500000      0.363400      0.473475
      0.500000      0.379200      0.484151
      0.500000      0.395000      0.494897
      0.500000      0.410800      0.505674
      0.500000      0.426600      0.516456
      0.500000      0.442400      0.527217
      0.500000      0.458200      0.537942
