#N_mub=6
#N_T=20
#     muB[GeV]      T[GeV]        massstrangequark[GeV]
      0.000000      0.158000      0.576118
      0.000000      0.173800      0.545326
      0.000000      0.189600      0.521563
      0.000000      0.205400      0.504958
      0.000000      0.221200      0.494624
      0.000000      0.237000      0.489430
      0.000000      0.252800      0.488293
      0.000000      0.268600      0.490280
      0.000000      0.284400      0.494637
      0.000000      0.300200      0.500772
      0.000000      0.316000      0.508234
      0.000000      0.331800      0.516681
      0.000000      0.347600      0.525856
      0.000000      0.363400      0.535565
      0.000000      0.379200      0.545665
      0.000000      0.395000      0.556044
      0.000000      0.410800      0.566622
      0.000000      0.426600      0.577335
      0.000000      0.442400      0.588134
      0.000000      0.458200      0.598983
      0.100000      0.158000      0.571062
      0.100000      0.173800      0.540794
      0.100000      0.189600      0.517631
      0.100000      0.205400      0.501586
      0.100000      0.221200      0.491735
      0.100000      0.237000      0.486939
      0.100000      0.252800      0.486121
      0.100000      0.268600      0.488360
      0.100000      0.284400      0.492913
      0.100000      0.300200      0.499199
      0.100000      0.316000      0.506777
      0.100000      0.331800      0.515312
      0.100000      0.347600      0.524553
      0.100000      0.363400      0.534312
      0.100000      0.379200      0.544447
      0.100000      0.395000      0.554853
      0.100000      0.410800      0.565448
      0.100000      0.426600      0.576172
      0.100000      0.442400      0.586977
      0.100000      0.458200      0.597828
      0.200000      0.158000      0.555933
      0.200000      0.173800      0.527336
      0.200000      0.189600      0.506000
      0.200000      0.205400      0.491628
      0.200000      0.221200      0.483205
      0.200000      0.237000      0.479580
      0.200000      0.252800      0.479698
      0.200000      0.268600      0.482671
      0.200000      0.284400      0.487792
      0.200000      0.300200      0.494516
      0.200000      0.316000      0.502427
      0.200000      0.331800      0.511214
      0.200000      0.347600      0.520645
      0.200000      0.363400      0.530544
      0.200000      0.379200      0.540781
      0.200000      0.395000      0.551259
      0.200000      0.410800      0.561903
      0.200000      0.426600      0.572655
      0.200000      0.442400      0.583475
      0.200000      0.458200      0.594328
      0.300000      0.158000      0.530969
      0.300000      0.173800      0.505424
      0.300000      0.189600      0.487182
      0.300000      0.205400      0.475566
      0.300000      0.221200      0.469453
      0.300000      0.237000      0.467698
      0.300000      0.252800      0.469293
      0.300000      0.268600      0.473415
      0.300000      0.284400      0.479420
      0.300000      0.300200      0.486818
      0.300000      0.316000      0.495239
      0.300000      0.331800      0.504410
      0.300000      0.347600      0.514125
      0.300000      0.363400      0.524232
      0.300000      0.379200      0.534617
      0.300000      0.395000      0.545195
      0.300000      0.410800      0.555903
      0.300000      0.426600      0.566691
      0.300000      0.442400      0.577522
      0.300000      0.458200      0.588368
      0.400000      0.158000      0.496911
      0.400000      0.173800      0.476003
      0.400000      0.189600      0.462111
      0.400000      0.205400      0.454228
      0.400000      0.221200      0.451170
      0.400000      0.237000      0.451841
      0.400000      0.252800      0.455323
      0.400000      0.268600      0.460893
      0.400000      0.284400      0.467998
      0.400000      0.300200      0.476225
      0.400000      0.316000      0.485265
      0.400000      0.331800      0.494893
      0.400000      0.347600      0.504940
      0.400000      0.363400      0.515283
      0.400000      0.379200      0.525830
      0.400000      0.395000      0.536511
      0.400000      0.410800      0.547275
      0.400000      0.426600      0.558081
      0.400000      0.442400      0.568903
      0.400000      0.458200      0.579714
      0.500000      0.158000      0.455361
      0.500000      0.173800      0.440661
      0.500000      0.189600      0.432197
      0.500000      0.205400      0.428784
      0.500000      0.221200      0.429274
      0.500000      0.237000      0.432694
      0.500000      0.252800      0.438272
      0.500000      0.268600      0.445420
      0.500000      0.284400      0.453702
      0.500000      0.300200      0.462798
      0.500000      0.316000      0.472473
      0.500000      0.331800      0.482556
      0.500000      0.347600      0.492920
      0.500000      0.363400      0.503475
      0.500000      0.379200      0.514151
      0.500000      0.395000      0.524897
      0.500000      0.410800      0.535674
      0.500000      0.426600      0.546456
      0.500000      0.442400      0.557217
      0.500000      0.458200      0.567942
