#  T/T_c  alpha_s     _max     _min
1.008351 3.566972 3.970642 3.203670
1.022965 3.130275 3.944954 2.275229
1.033403 2.711927 3.339450 2.051376
1.098121 2.429358 2.862385 1.952294
1.156576 2.110092 2.348624 1.856881
1.229645 1.794495 1.941284 1.607339
1.319415 1.434862 1.544954 1.302752
1.436326 1.258716 1.324771 1.166972
1.663883 1.181651 1.233028 1.078899
1.862213 1.031193 1.078899 0.983486
2.164927 0.880734 0.917431 0.836697
2.340292 0.818349 0.862385 0.781651
2.793319 0.667890 0.708257 0.634862
