#T[MeV]	chiB2	error	T d/dT(chiB2)	error
130	2.834e-02	2.381e-03	1.821e-01	4.603e-02
135	3.615e-02	2.350e-03	2.423e-01	5.415e-02
140	4.738e-02	2.271e-03	3.892e-01	5.593e-02
145	6.420e-02	2.311e-03	5.682e-01	4.061e-02
150	8.587e-02	2.268e-03	6.992e-01	4.612e-02
155	1.098e-01	2.382e-03	7.461e-01	5.562e-02
160	1.328e-01	2.436e-03	6.903e-01	3.313e-02
165	1.528e-01	1.670e-03	6.059e-01	4.216e-02
170	1.698e-01	1.357e-03	5.404e-01	3.291e-02
175	1.848e-01	1.307e-03	4.939e-01	1.804e-02
180	1.981e-01	1.191e-03	4.483e-01	1.753e-02
185	2.098e-01	1.147e-03	4.053e-01	1.523e-02
190	2.201e-01	1.155e-03	3.670e-01	1.297e-02
195	2.291e-01	1.123e-03	3.328e-01	1.153e-02
200	2.372e-01	1.008e-03	3.012e-01	1.253e-02
205	2.442e-01	8.792e-04	2.728e-01	1.305e-02
210	2.505e-01	8.118e-04	2.484e-01	1.173e-02
215	2.561e-01	8.111e-04	2.274e-01	1.087e-02
220	2.611e-01	8.505e-04	2.094e-01	1.009e-02
225	2.657e-01	8.685e-04	1.932e-01	8.843e-03
230	2.697e-01	8.116e-04	1.782e-01	9.477e-03
235	2.734e-01	7.174e-04	1.639e-01	1.048e-02
240	2.767e-01	6.560e-04	1.502e-01	9.739e-03
245	2.797e-01	6.429e-04	1.372e-01	8.307e-03
250	2.823e-01	6.598e-04	1.251e-01	7.504e-03
255	2.847e-01	6.853e-04	1.139e-01	6.769e-03
260	2.868e-01	6.960e-04	1.038e-01	6.014e-03
265	2.887e-01	4.691e-04	9.629e-02	3.324e-03
270	2.905e-01	4.672e-04	8.961e-02	3.308e-03
275	2.920e-01	4.667e-04	8.363e-02	3.328e-03
280	2.935e-01	4.669e-04	7.827e-02	3.351e-03
285	2.948e-01	4.677e-04	7.346e-02	3.354e-03
290	2.961e-01	4.695e-04	6.913e-02	3.336e-03
295	2.972e-01	4.729e-04	6.522e-02	3.304e-03
300	2.983e-01	4.779e-04	6.166e-02	3.271e-03
305	2.993e-01	4.839e-04	5.842e-02	3.245e-03
310	3.002e-01	4.906e-04	5.544e-02	3.221e-03
315	3.011e-01	4.976e-04	5.272e-02	3.189e-03
320	3.019e-01	5.052e-04	5.020e-02	3.137e-03
325	3.026e-01	5.133e-04	4.788e-02	3.057e-03
330	3.033e-01	5.215e-04	4.572e-02	2.946e-03
335	3.040e-01	5.291e-04	4.371e-02	2.808e-03
340	3.047e-01	5.354e-04	4.184e-02	2.651e-03
345	3.053e-01	5.399e-04	4.009e-02	2.493e-03
350	3.058e-01	5.419e-04	3.845e-02	2.359e-03
355	3.064e-01	5.412e-04	3.690e-02	2.280e-03
360	3.069e-01	5.375e-04	3.544e-02	2.279e-03
365	3.074e-01	5.307e-04	3.406e-02	2.370e-03
370	3.078e-01	5.208e-04	3.274e-02	2.547e-03
375	3.082e-01	5.080e-04	3.149e-02	2.804e-03
380	3.086e-01	4.927e-04	3.030e-02	3.134e-03
385	3.090e-01	4.760e-04	2.915e-02	3.531e-03
390	3.094e-01	4.590e-04	2.805e-02	3.989e-03
395	3.098e-01	4.439e-04	2.700e-02	4.500e-03
400	3.101e-01	4.331e-04	2.599e-02	5.058e-03
405	3.104e-01	4.296e-04	2.502e-02	5.652e-03
410	3.107e-01	4.360e-04	2.408e-02	6.276e-03
415	3.110e-01	4.546e-04	2.318e-02	6.924e-03
420	3.113e-01	4.868e-04	2.231e-02	7.590e-03
425	3.115e-01	5.333e-04	2.146e-02	8.272e-03
430	3.118e-01	5.940e-04	2.065e-02	8.964e-03
435	3.120e-01	6.684e-04	1.986e-02	9.666e-03
440	3.122e-01	7.555e-04	1.909e-02	1.037e-02
445	3.124e-01	8.543e-04	1.835e-02	1.109e-02
450	3.126e-01	9.636e-04	1.762e-02	1.180e-02
